name,position,available,generator_name,bus_id,active_power,rating,input_efficiency,output_efficiency,storage_capacity,min_storage_capacity,max_storage_capacity,input_active_power_limit_min,output_active_power_limit_max,output_active_power_limit_min,unit_type
Dry Lake Solar BESS_head,tail,True,Dry Lake Solar BESS,1,0,1,0.922,0.922,400.0,0.0,1.0,0,100.0,0,
Dry Lake Solar BESS_tail,head,True,Dry Lake Solar BESS,1,0,1,0.922,0.922,400.0,0.0,1.0,0,100.0,0,
Reid Gardner BESS_head,tail,True,Reid Gardner BESS,1,0,1,0.922,0.922,440.0,0.0,1.0,0,220.0,0,
Reid Gardner BESS_tail,head,True,Reid Gardner BESS,1,0,1,0.922,0.922,440.0,0.0,1.0,0,220.0,0,
Gemini Solar BESS_head,tail,True,Gemini Solar BESS,1,0,1,0.922,0.922,1406.0,0.0,1.0,0,380.0,0,
Gemini Solar BESS_tail,head,True,Gemini Solar BESS,1,0,1,0.922,0.922,1406.0,0.0,1.0,0,380.0,0,
Boulder Solar III BESS_head,tail,True,Boulder Solar III BESS,1,0,1,0.922,0.922,511.6,0.0,1.0,0,127.9,0,
Boulder Solar III BESS_tail,head,True,Boulder Solar III BESS,1,0,1,0.922,0.922,511.6,0.0,1.0,0,127.9,0,
Dry Lake East Solar BESS_head,tail,True,Dry Lake East Solar BESS,1,0,1,0.922,0.922,800.0,0.0,1.0,0,200.0,0,
Dry Lake East Solar BESS_tail,head,True,Dry Lake East Solar BESS,1,0,1,0.922,0.922,800.0,0.0,1.0,0,200.0,0,
Battle Mountain Solar BESS_head,tail,True,Battle Mountain Solar BESS,2,0,1,0.922,0.922,98.72,0.0,1.0,0,24.68,0,
Battle Mountain Solar BESS_tail,head,True,Battle Mountain Solar BESS,2,0,1,0.922,0.922,98.72,0.0,1.0,0,24.68,0,
Dodge Flat Solar BESS_head,tail,True,Dodge Flat Solar BESS,2,0,1,0.922,0.922,200.0,0.0,1.0,0,50.0,0,
Dodge Flat Solar BESS_tail,head,True,Dodge Flat Solar BESS,2,0,1,0.922,0.922,200.0,0.0,1.0,0,50.0,0,
Libra Solar BESS_head,tail,True,Libra Solar BESS,1,0,1,0.922,0.922,2800.0,0.0,1.0,0,700.0,0,
Libra Solar BESS_tail,head,True,Libra Solar BESS,1,0,1,0.922,0.922,2800.0,0.0,1.0,0,700.0,0,
Arrow Canyon Solar BESS_head,tail,True,Arrow Canyon Solar BESS,2,0,1,0.922,0.922,375.0,0.0,1.0,0,75.0,0,
Arrow Canyon Solar BESS_tail,head,True,Arrow Canyon Solar BESS,2,0,1,0.922,0.922,375.0,0.0,1.0,0,75.0,0,
Fish Springs Ranch Solar BESS_head,tail,True,Fish Springs Ranch Solar BESS,2,0,1,0.922,0.922,99.64,0.0,1.0,0,24.91,0,
Fish Springs Ranch Solar BESS_tail,head,True,Fish Springs Ranch Solar BESS,2,0,1,0.922,0.922,99.64,0.0,1.0,0,24.91,0,
Sierra Solar BESS_head,tail,True,Sierra Solar BESS,2,0,1,0.922,0.922,1600.0,0.0,1.0,0,400.0,0,
Sierra Solar BESS_tail,head,True,Sierra Solar BESS,2,0,1,0.922,0.922,1600.0,0.0,1.0,0,400.0,0,
