name,connection_points_from,connection_points_to,r,x,primary_shunt,rate,branch_type
AESO_to_BCTC,1,5,0.0,0.0,0.0,,
AESO_to_NWMT,1,27,0.0,0.0,0.0,,
AVA_to_BPA,4,6,0.0,0.0,0.0,,
AVA_to_CHPD,4,9,0.0,0.0,0.0,,
AVA_to_GCPD,4,14,0.0,0.0,0.0,,
AVA_to_NWMT,4,27,0.0,0.0,0.0,,
AVA_to_PACW,4,28,0.0,0.0,0.0,,
AVA_to_PGE,4,34,0.0,0.0,0.0,,
AVA_to_SCL,4,41,0.0,0.0,0.0,,
AVA_to_TPWR,4,51,0.0,0.0,0.0,,
AVA_to_TREAS VLY,4,19,0.0,0.0,0.0,,
AZPS_to_PAUT,3,31,0.0,0.0,0.0,,
AZPS_to_PNM,3,35,0.0,0.0,0.0,,
AZPS_to_SRP,3,45,0.0,0.0,0.0,,
AZPS_to_TEPC,3,47,0.0,0.0,0.0,,
AZPS_to_WALC,3,55,0.0,0.0,0.0,,
BANC-TID,43,50,0.0,0.0,0.0,,
BCHA_to_BPA,5,6,0.0,0.0,0.0,,
BPA_to_CHPD,6,9,0.0,0.0,0.0,,
BPA_to_DOPD,6,10,0.0,0.0,0.0,,
BPA_to_GCPD,6,14,0.0,0.0,0.0,,
BPA_to_IPTV,6,19,0.0,0.0,0.0,,
BPA_to_NWMT,6,27,0.0,0.0,0.0,,
BPA_to_PACW,6,28,0.0,0.0,0.0,,
BPA_to_PGE,6,34,0.0,0.0,0.0,,
BPA_to_PSEI,6,37,0.0,0.0,0.0,,
BPA_to_SCL,6,41,0.0,0.0,0.0,,
BPA_to_SPPC,6,44,0.0,0.0,0.0,,
BPA_to_TPWR,6,51,0.0,0.0,0.0,,
BPAT-PG&E (COI 66),6,33,0.0,1.0,0.0,,
BPAT-PG&E_Valley (Coal),6,33,0.0,1.0,0.0,,
BPAT-PG&E_Valley (Hydro),6,33,0.0,1.0,0.0,,
BPAT-PG&E_Valley (Renewables),6,33,0.0,1.0,0.0,,
BPAT-PG&E_Valley (System),6,33,0.0,1.0,0.0,,
BPAT-SMUD (COI 66),6,43,0.0,0.0,0.0,,
CFE-IV (45),8,20,0.0,1.0,0.0,,
CFE-IV (NG),8,20,0.0,1.0,0.0,,
CFE-IV (Renew),8,20,0.0,1.0,0.0,,
CHPD_to_DOPD,9,10,0.0,0.0,0.0,,
CHPD_to_PSEI,9,37,0.0,0.0,0.0,,
DI_PG&E_Valley-SMUD_NG,33,43,0.0,-1.0,0.0,,
DI_PG&E_Valley-SMUD_Renew,33,43,0.0,-1.0,0.0,,
DI-IID-SCE-Renew,16,40,0.0,1.0,0.0,,
DI-LADWP-SCE-Coal,21,40,0.0,1.0,0.0,,
DI-LADWP-SCE-NG,21,40,0.0,1.0,0.0,,
DI-LADWP-SCE-Renew,21,40,0.0,1.0,0.0,,
DOPD_to_GCPD,10,14,0.0,0.0,0.0,,
EPE_to_PNM,13,35,0.0,0.0,0.0,,
EPE_to_TEPC,13,47,0.0,0.0,0.0,,
GCPD_to_PACW,14,28,0.0,0.0,0.0,,
GCPD_to_PSEI,14,37,0.0,0.0,0.0,,
IID-IV (46),16,20,0.0,1.0,0.0,,
IID-LADWP,16,21,0.0,0.0,0.0,,
IID-SCE (42;46),16,40,0.0,1.0,0.0,,
IPFE to IPMV,17,18,0.0,0.0,0.0,,
IPFE to PAID,17,29,0.0,0.0,0.0,,
IPFE to PAWY,17,32,0.0,0.0,0.0,,
IPFE_to_IPTV,17,19,0.0,0.0,0.0,,
IPMV_to_IPTV,18,19,0.0,0.0,0.0,,
IPMV_to_SPPC,18,44,0.0,0.0,0.0,,
IPP - LADWP (27),31,21,0.0,0.0,0.0,,
IPP - LADWP (Coal),31,21,0.0,0.0,0.0,,
IPP - LADWP (Gas),31,21,0.0,0.0,0.0,,
IPP - LADWP (Renew),31,21,0.0,0.0,0.0,,
IV-SDGE,20,42,0.0,0.0,0.0,,
IV-SDGE (NG),20,42,0.0,0.0,0.0,,
IV-SDGE (Renew),20,42,0.0,0.0,0.0,,
LADWP-Burbank,21,7,0.0,0.0,0.0,,
LADWP-Glendale,21,15,0.0,0.0,0.0,,
LADWP-MEAD (46),21,48,0.0,0.0,0.0,,
LADWP-MEAD (Coal),21,48,0.0,0.0,0.0,,
LADWP-MEAD (NG),21,48,0.0,0.0,0.0,,
LADWP-MEAD (Nuc/Hydro),21,48,0.0,0.0,0.0,,
LADWP-MEAD (Renew),21,48,0.0,0.0,0.0,,
LADWP-SCE (41;60;61),21,40,0.0,1.0,0.0,,
LDWP-BPAT (PDCI 65),21,6,0.0,0.0,0.0,,
LDWP-BPAT (Renew),21,6,0.0,0.0,0.0,,
NEVP_to_PAUT,26,31,0.0,0.0,0.0,,
NEVP_to_SPPC,26,44,0.0,0.0,0.0,,
NEVP_to_WALC,26,55,0.0,0.0,0.0,,
NGILA-WALC,20,55,0.0,-1.0,0.0,,
NGILA-WALC (Davis),20,55,0.0,-1.0,0.0,,
NWMT_to_WAUW,27,58,0.0,0.0,0.0,,
PACW_to_IPTV,28,19,0.0,0.0,0.0,,
PACW_to_PGE,28,34,0.0,0.0,0.0,,
PACW-PG&E_Bay (25),28,33,0.0,1.0,0.0,,
PAID_to_NWMT,29,27,0.0,0.0,0.0,,
PAID_to_PAUT,29,31,0.0,0.0,0.0,,
PAID_to_PAWY,29,32,0.0,0.0,0.0,,
PAUT_to_WACM,31,54,0.0,0.0,0.0,,
PAUT_to_WALC,31,55,0.0,0.0,0.0,,
PAWY_to_NWMT,32,27,0.0,0.0,0.0,,
PAWY_to_PAUT,32,31,0.0,0.0,0.0,,
PAWY_to_WACM,32,54,0.0,0.0,0.0,,
PG&E_Bay-TID,33,50,0.0,-1.0,0.0,,
PG&E_Valley-SCE (Path 26),33,40,0.0,0.0,0.0,,
PG&E_Valley-SMUD,33,43,0.0,-1.0,0.0,,
PG&E_Valley-SPPC (24),33,44,0.0,-1.0,0.0,,
PGE_to_IPTV,34,19,0.0,0.0,0.0,,
PNM_to_PSCO,35,36,0.0,0.0,0.0,,
PNM_to_TEPC,35,47,0.0,0.0,0.0,,
PNM_to_WACM,35,54,0.0,0.0,0.0,,
PNM_to_WALC,35,55,0.0,0.0,0.0,,
PSCO_to_WACM,36,54,0.0,0.0,0.0,,
PSEI_to_SCL,37,41,0.0,0.0,0.0,,
PSEI_to_TPWR,37,51,0.0,0.0,0.0,,
PV-NGILA (21 46 49),49,20,0.0,1.0,0.0,,
PV-NGILA(Renew),49,20,0.0,1.0,0.0,,
PV-SCE (21 46 49),49,40,0.0,1.0,0.0,,
PV-SCE (NG),49,40,0.0,1.0,0.0,,
PV-SCE (Palo Verde),49,40,0.0,1.0,0.0,,
PV-SCE (Renew),49,40,0.0,1.0,0.0,,
SCE-Anaheim,40,2,0.0,0.0,0.0,,
SCE-DWR-South,40,12,0.0,0.0,0.0,,
SCE-MEAD (46),40,48,0.0,-1.0,0.0,,
SCE-MEAD (Coal),40,48,0.0,-1.0,0.0,,
SCE-MEAD (NG),40,48,0.0,-1.0,0.0,,
SCE-MEAD (Nuc/Hydro),40,48,0.0,-1.0,0.0,,
SCE-MEAD (Renew),40,48,0.0,-1.0,0.0,,
SCE-MWD,40,23,0.0,0.0,0.0,,
SCE-Pasadena,40,30,0.0,0.0,0.0,,
SCE-Riverside,40,39,0.0,0.0,0.0,,
SCE-Vernon,40,53,0.0,0.0,0.0,,
SCL_to_TPWR,41,51,0.0,0.0,0.0,,
SDG&E-CFE (45),42,8,0.0,-1.0,0.0,,
SDG&E-CFE (Juarez Wind),42,8,0.0,-1.0,0.0,,
SDG&E-SCE (43),42,40,0.0,0.0,0.0,,
SPPC_to_PAUT,44,31,0.0,0.0,0.0,,
SRP_to_TEPC,45,47,0.0,0.0,0.0,,
SRP_to_WALC,45,55,0.0,0.0,0.0,,
TEPC_to_WALC,47,55,0.0,0.0,0.0,,
VEA_to_NEVP,52,26,0.0,0.0,0.0,,
VEA_to_WALC,52,55,0.0,0.0,0.0,,
WACM_to_WALC,54,55,0.0,0.0,0.0,,
WACM_to_WAUW,54,58,0.0,0.0,0.0,,
WALC-IID,55,16,0.0,0.0,0.0,,
WALC-IID (Davis Hydro),55,16,0.0,0.0,0.0,,
WALC-IID (Gas),55,16,0.0,0.0,0.0,,
WALC-SCE (59),55,40,0.0,1.0,0.0,,
